A;B;C
Starting an Indoor Soccer League this Winter;We’re starting an indoor soccer league this winter and need...;Indoor Soccer League this winter, need more players for Tuesday...
Annual Community Potluck Next Saturday;The annual community potluck is scheduled for next Saturday at...;Annual Community Potluck Scheduled Next Saturday
The local museum will be closed for renovations;Notice: The local museum will be closed for renovations starting...;The local museum will be closed for renovations
If Anyone Needs Assistance;If anyone needs assistance with fall yard cleanup, our high...;High school service club students offering fall yard cleanup assistance
A Lost Cat;Lost cat: A small black and white cat named Oreo...;Lost cat: A small black and white cat named Oreo...
Make a difference for our kids;The youth soccer league is looking for coaches and referees...;Looking for coaches and referees for youth soccer league
The local historical society is hosting a lecture;The local historical society is hosting a lecture on the...;Architectural history lecture next Thursday
Found: A Small Remote Control Car;Found: A small remote control car in the alley behind...;Found: A small remote control car in the alley behind...
Annual Haunted House Fundraiser is Back...;The annual haunted house fundraiser is back! We're looking for...;Annual haunted house fundraiser is back
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...;Please keep sidewalks clear of leaves and debris as we...
The local art gallery is seeking;The local art gallery is seeking submissions for a community...;Seeking submissions for a community art project themed 'Unity'
Good morning, fellow residents!;Good morning, fellow residents! We're organizing a clean-up day at...;Clean-up day at Liberty Park this Saturday starting at 9...
I Bake Custom Cakes For Any Occasion;I bake custom cakes for any occasion—birthdays, anniversaries, you name...;I bake custom cakes for any occasion—birthdays, anniversaries, you name...
Found a Digital Camera at Ridge Trail Viewpoint;Found a digital camera at the viewpoint on Ridge Trail....;Digital camera found at viewpoint on Ridge Trail with vacation...
Volunteers Needed for the Library's Annual Book Sale;Volunteers needed for the library’s annual book sale. If you...;Volunteers needed for the library’s annual book sale
Lost: A Set of Gold-Rimmed Reading Glasses;Lost: A set of gold-rimmed reading glasses, possibly left in...;Lost: A set of gold-rimmed reading glasses, possibly left in...
Anyone Interested in Joining a Weekly Meal-Prep Group?;Anyone interested in joining a weekly meal-prep group? We get...;Joining a weekly meal-prep group to cook large batches of...
Found a set of car keys in Westside Mall;Found a set of car keys in the Westside Mall...;Found a set of car keys in the Westside Mall...
We are seeking guest speakers for our monthly;We are looking for guest speakers for our monthly virtual...;Looking for guest speakers for monthly virtual technology forum
Our local museum seeks volunteers;Our local museum is currently seeking volunteers to help guide...;Seeking volunteers to help guide weekend tours
Join us this Friday at 7 PM in the;The high school band is hosting a charity concert to...;Charity concert to raise funds for upcoming competition trip
The city will be repaving several roads;The city will be repaving several roads starting next week....;Repaving several roads starting next week
Annual Plant Swap Next Saturday at Botanical Gardens;Our annual plant swap is happening next Saturday at the...;annual plant swap is happening next Saturday at the botanical...
My Computer Has Been Acting Up...;My computer has been acting up, and I think it...;My computer has been acting up, and I think it...
The community center is offering free CPR;The community center is offering free CPR and first aid...;Free CPR and first aid training this month
Lost: A small drone, last seen near Pine Grove Park.;Lost: A small drone, last seen near Pine Grove Park....;Lost: A small drone, last seen near Pine Grove Park
The Local Food Bank is in Urgent Need of Canned...;The local food bank is in urgent need of canned...;In urgent need of canned goods and non-perishable items
Clean the Creek;"Join us for the annual ""Clean the Creek"" day next...";Annual 'Clean the Creek' day next Sunday
I'm offering tutoring services for middle and high school students...;I'm offering tutoring services for middle and high school students...;Offering tutoring services for middle and high school students in...
The Photography Club is Looking for New Members!;The photography club is looking for new members! We meet...;New members wanted for photography club! Meet every Wednesday...
Missing Cat Whiskers;"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing...";"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing..."
Seeking Donations of Old Costumes and Props;The community theater is seeking donations of old costumes and...;Seeking donations of old costumes and props for production of...
There's a computer skills workshop this Thursday.;There’s a computer skills workshop focusing on basic skills like...;Computer skills workshop focusing on basic skills at the library
Found a small child's bike;Found a small child's bike near the community center. It's...;Small child's bike found near community center
I'm Offering Guitar Lessons;I'm offering guitar lessons in the evenings and weekends. Whether...;I'm offering guitar lessons in the evenings and weekends.
Our Local Fire Station Open House;Our local fire station will be holding an open house...;Open House at Local Fire Station next Saturday
The Neighborhood Council is Hosting a Forum;The neighborhood council is hosting a forum to discuss upcoming...;Join us at the community hall next Tuesday at 6...
A friendly reminder that property taxes are due at the...;A friendly reminder that property taxes are due at the...;Property taxes are due at the end of the month
The Local Art League is Hosting;The local art league is hosting a weekend workshop on...;Watercolor techniques workshop for all levels this weekend
"The annual ""Books for Kids""";"The annual ""Books for Kids"" drive is happening now. We're...";We're collecting new or gently used children's books
Attention all runners: The community 10K;Attention all runners: The community 10K race is just around...;Register now to secure your spot
Lost drone alert: I lost my drone while taking aerial...;Lost drone alert: I lost my drone while taking aerial...;Lost drone alert: I lost my drone while taking aerial...
Our local history group is seeking old;Our local history group is seeking old photographs and stories...;Our local history group is seeking old photographs and stories...
Found a smartphone in Central Park near the fountain;Found a smartphone in Central Park near the fountain. It's...;Found a smartphone in Central Park near the fountain.
The evening classes in web design and digital marketing starting;The local community college is offering evening classes in web...;Upgrade your skills for today's job market
Our Community Garden Has Plots Available;Our community garden has a few plots available for the...;our community garden has a few plots available for
Light Up the Night;"Our annual ""Light Up the Night"" holiday parade is seeking...";Seeking volunteers for our annual 'Light Up the Night' holiday...
Lost Pets: Check the Animal Shelter;If you've lost a pet, remember to check the animal...;Lost a pet? Check animal shelter or community lost and...
The Neighborhood Association is Planning;The neighborhood association is planning a series of workshops on...;Workshops on home energy efficiency
Free Concert in the Park this Sunday;The local symphony orchestra will be giving a free concert...;Free concert in the park this Sunday at 5 PM
